Date,Time [GMT],AT
01/08/2016,10:00,52.9
02/08/2016,7:00,3.8
15/06/2018,9:00,41.6
15/06/2018,10:00,47.2
15/06/2018,11:00,47.9
15/06/2018,12:00,47.7
15/06/2018,13:00,49.4
15/06/2018,14:00,51.2
15/06/2018,15:00,51.8
15/06/2018,16:00,51.2
15/06/2018,17:00,51.8
15/06/2018,18:00,23.6
02/05/2019,21:00,8.4
02/05/2019,22:00,6.6
02/05/2019,23:00,5.5
03/05/2019,0:00,6.7
03/05/2019,1:00,3.9
03/05/2019,2:00,3.5
03/05/2019,3:00,2.9
03/05/2019,4:00,2.6
03/05/2019,5:00,2.8
03/05/2019,6:00,4.2
03/05/2019,7:00,7.4
03/05/2019,8:00,7.2
03/05/2019,9:00,6.5
03/05/2019,10:00,9.6
03/05/2019,11:00,10.9
03/05/2019,12:00,5.5
03/05/2019,13:00,8.1
03/05/2019,14:00,5.8
03/05/2019,15:00,7.8
03/05/2019,16:00,10.0
03/05/2019,17:00,5.3
03/05/2019,18:00,7.8
03/05/2019,19:00,6.7
03/05/2019,20:00,7.8
03/05/2019,21:00,7.7
03/05/2019,22:00,9.5
03/05/2019,23:00,8.7
04/05/2019,0:00,5.6
04/05/2019,1:00,3.6
04/05/2019,2:00,2.4
04/05/2019,3:00,3.2
04/05/2019,4:00,8.0
04/05/2019,5:00,7.9
04/05/2019,6:00,7.5
04/05/2019,7:00,6.5
04/05/2019,8:00,5.3
04/05/2019,9:00,5.8
04/05/2019,10:00,9.5
04/05/2019,11:00,5.7
04/05/2019,12:00,10.1
04/05/2019,13:00,11.2
04/05/2019,14:00,12.0
04/05/2019,15:00,8.1
04/05/2019,16:00,11.8
04/05/2019,17:00,9.8
04/05/2019,18:00,8.1
04/05/2019,19:00,4.5
04/05/2019,20:00,8.3
04/05/2019,21:00,6.9
04/05/2019,22:00,9.8
04/05/2019,23:00,8.7
05/05/2019,0:00,6.3
05/05/2019,1:00,3.5
05/05/2019,2:00,4.3
05/05/2019,3:00,6.8
05/05/2019,4:00,3.4
